Шаг 0: [1, 3, 20, 56, 4, 5, 7, 8, 10, 30, 2, 1]
Шаг 1: [1, 3, 20, 4, 56, 5, 7, 8, 10, 30, 2, 1]
Шаг 2: [1, 3, 20, 4, 5, 56, 7, 8, 10, 30, 2, 1]
Шаг 3: [1, 3, 20, 4, 5, 7, 56, 8, 10, 30, 2, 1]
Шаг 4: [1, 3, 20, 4, 5, 7, 8, 56, 10, 30, 2, 1]
Шаг 5: [1, 3, 20, 4, 5, 7, 8, 10, 56, 30, 2, 1]
Шаг 6: [1, 3, 20, 4, 5, 7, 8, 10, 30, 56, 2, 1]
Шаг 7: [1, 3, 20, 4, 5, 7, 8, 10, 30, 2, 56, 1]
Шаг 8: [1, 3, 20, 4, 5, 7, 8, 10, 30, 2, 1, 56]
Шаг 9: [1, 3, 4, 20, 5, 7, 8, 10, 30, 2, 1, 56]
Шаг 10: [1, 3, 4, 5, 20, 7, 8, 10, 30, 2, 1, 56]
Шаг 11: [1, 3, 4, 5, 7, 20, 8, 10, 30, 2, 1, 56]
Шаг 12: [1, 3, 4, 5, 7, 8, 20, 10, 30, 2, 1, 56]
Шаг 13: [1, 3, 4, 5, 7, 8, 10, 20, 30, 2, 1, 56]
Шаг 14: [1, 3, 4, 5, 7, 8, 10, 20, 2, 30, 1, 56]
Шаг 15: [1, 3, 4, 5, 7, 8, 10, 20, 2, 1, 30, 56]
Шаг 16: [1, 3, 4, 5, 7, 8, 10, 2, 20, 1, 30, 56]
Шаг 17: [1, 3, 4, 5, 7, 8, 10, 2, 1, 20, 30, 56]
Шаг 18: [1, 3, 4, 5, 7, 8, 2, 10, 1, 20, 30, 56]
Шаг 19: [1, 3, 4, 5, 7, 8, 2, 1, 10, 20, 30, 56]
Шаг 20: [1, 3, 4, 5, 7, 2, 8, 1, 10, 20, 30, 56]
Шаг 21: [1, 3, 4, 5, 7, 2, 1, 8, 10, 20, 30, 56]
Шаг 22: [1, 3, 4, 5, 2, 7, 1, 8, 10, 20, 30, 56]
Шаг 23: [1, 3, 4, 5, 2, 1, 7, 8, 10, 20, 30, 56]
Шаг 24: [1, 3, 4, 2, 5, 1, 7, 8, 10, 20, 30, 56]
Шаг 25: [1, 3, 4, 2, 1, 5, 7, 8, 10, 20, 30, 56]
Шаг 26: [1, 3, 2, 4, 1, 5, 7, 8, 10, 20, 30, 56]
Шаг 27: [1, 3, 2, 1, 4, 5, 7, 8, 10, 20, 30, 56]
Шаг 28: [1, 2, 3, 1, 4, 5, 7, 8, 10, 20, 30, 56]
Шаг 29: [1, 2, 1, 3, 4, 5, 7, 8, 10, 20, 30, 56]
Шаг 30: [1, 1, 2, 3, 4, 5, 7, 8, 10, 20, 30, 56]
Шаг 0: [1, 5, 20, 41, 3, 56, 4, 5, 7, 8, 10, 30, 2, 1]
Шаг 1: [1, 5, 20, 3, 41, 56, 4, 5, 7, 8, 10, 30, 2, 1]
Шаг 2: [1, 5, 20, 3, 41, 4, 56, 5, 7, 8, 10, 30, 2, 1]
Шаг 3: [1, 5, 20, 3, 41, 4, 5, 56, 7, 8, 10, 30, 2, 1]
Шаг 4: [1, 5, 20, 3, 41, 4, 5, 7, 56, 8, 10, 30, 2, 1]
Шаг 5: [1, 5, 20, 3, 41, 4, 5, 7, 8, 56, 10, 30, 2, 1]
Шаг 6: [1, 5, 20, 3, 41, 4, 5, 7, 8, 10, 56, 30, 2, 1]
Шаг 7: [1, 5, 20, 3, 41, 4, 5, 7, 8, 10, 30, 56, 2, 1]
Шаг 8: [1, 5, 20, 3, 41, 4, 5, 7, 8, 10, 30, 2, 56, 1]
Шаг 9: [1, 5, 20, 3, 41, 4, 5, 7, 8, 10, 30, 2, 1, 56]
Шаг 10: [1, 5, 3, 20, 41, 4, 5, 7, 8, 10, 30, 2, 1, 56]
Шаг 11: [1, 5, 3, 20, 4, 41, 5, 7, 8, 10, 30, 2, 1, 56]
Шаг 12: [1, 5, 3, 20, 4, 5, 41, 7, 8, 10, 30, 2, 1, 56]
Шаг 13: [1, 5, 3, 20, 4, 5, 7, 41, 8, 10, 30, 2, 1, 56]
Шаг 14: [1, 5, 3, 20, 4, 5, 7, 8, 41, 10, 30, 2, 1, 56]
Шаг 15: [1, 5, 3, 20, 4, 5, 7, 8, 10, 41, 30, 2, 1, 56]
Шаг 16: [1, 5, 3, 20, 4, 5, 7, 8, 10, 30, 41, 2, 1, 56]
Шаг 17: [1, 5, 3, 20, 4, 5, 7, 8, 10, 30, 2, 41, 1, 56]
Шаг 18: [1, 5, 3, 20, 4, 5, 7, 8, 10, 30, 2, 1, 41, 56]
Шаг 19: [1, 3, 5, 20, 4, 5, 7, 8, 10, 30, 2, 1, 41, 56]
Шаг 20: [1, 3, 5, 4, 20, 5, 7, 8, 10, 30, 2, 1, 41, 56]
Шаг 21: [1, 3, 5, 4, 5, 20, 7, 8, 10, 30, 2, 1, 41, 56]
Шаг 22: [1, 3, 5, 4, 5, 7, 20, 8, 10, 30, 2, 1, 41, 56]
Шаг 23: [1, 3, 5, 4, 5, 7, 8, 20, 10, 30, 2, 1, 41, 56]
Шаг 24: [1, 3, 5, 4, 5, 7, 8, 10, 20, 30, 2, 1, 41, 56]
Шаг 25: [1, 3, 5, 4, 5, 7, 8, 10, 20, 2, 30, 1, 41, 56]
Шаг 26: [1, 3, 5, 4, 5, 7, 8, 10, 20, 2, 1, 30, 41, 56]
